year,iso3,country,who_region,latitude,longitude,syndrome,confirmed_cases,deaths,recovered,case_fatality_rate,hospitalized,icu_admissions,human_to_human_cases,mortality_rate_per_100k,avg_temp_c,rainfall_mm,humidity_pct,ndvi,rodent_abundance_index,deforestation_km2,densidad_poblacional
2021,BRA,Brazil,AMRO,-15.8,-47.9,HPS,60,19.0,41.0,0.3167,48.0,23.0,0.0,31.15,20.775,2243.0,70.4125,0.59175,0.77275,35.01,
2022,BRA,Brazil,AMRO,-15.8,-47.9,HPS,70,29.0,41.0,0.4143,65.0,26.0,0.0,40.85,20.55,2109.3,62.3625,0.4629999999999999,0.7026249999999999,32.4,
2023,BRA,Brazil,AMRO,-15.8,-47.9,HPS,63,25.0,38.0,0.3968,55.0,25.0,0.0,39.06,21.25,2897.6,67.89999999999999,0.5865,0.799375,31.02,
2024,BRA,Brazil,AMRO,-15.8,-47.9,HPS,67,28.0,39.0,0.4179,54.0,19.0,0.0,41.18,20.6,1506.3,68.1875,0.61875,0.69925,31.97,
2025,BRA,Brazil,AMRO,-15.8,-47.9,HPS,41,15.0,26.0,0.3659,31.0,12.0,0.0,35.71,20.525,3451.3,69.5125,0.544875,0.70775,32.39,
2010,CHL,Chile,AMRO,-33.4,-70.7,HPS,46,15.0,31.0,0.3261,43.0,15.0,3.0,31.91,10.575,3165.0,72.325,0.518125,0.672625,18.74,
2011,CHL,Chile,AMRO,-33.4,-70.7,HPS,50,13.0,37.0,0.26,38.0,10.0,0.0,25.49,10.3375,5959.4,74.6375,0.585,0.641875,13.5,
2012,CHL,Chile,AMRO,-33.4,-70.7,HPS,30,10.0,20.0,0.3333,22.0,7.0,2.0,32.26,10.025,4414.2,72.65,0.573125,0.507125,26.15,
2013,CHL,Chile,AMRO,-33.4,-70.7,HPS,30,11.0,19.0,0.3667,24.0,6.0,1.0,35.48,10.8625,4229.0,79.1,0.56525,0.64725,25.51,
2014,CHL,Chile,AMRO,-33.4,-70.7,HPS,48,18.0,30.0,0.375,43.0,21.0,1.0,36.73,11.2,4344.2,74.55,0.46775,0.706125,22.65,
2015,CHL,Chile,AMRO,-33.4,-70.7,HPS,42,15.0,27.0,0.3571,38.0,20.0,1.0,34.88,11.0625,3721.4,73.1875,0.539625,0.700875,25.97,
2016,CHL,Chile,AMRO,-33.4,-70.7,HPS,49,18.0,31.0,0.3673,40.0,21.0,3.0,36.0,10.375,3670.5,79.2875,0.5905,0.600875,28.4,
2017,CHL,Chile,AMRO,-33.4,-70.7,HPS,48,17.0,31.0,0.3542,43.0,12.0,3.0,34.69,10.0375,3787.3,74.125,0.606625,0.58425,34.34,
2018,CHL,Chile,AMRO,-33.4,-70.7,HPS,44,16.0,28.0,0.3636,35.0,18.0,1.0,35.56,10.3875,3708.8,69.8375,0.5375,0.5972500000000001,28.16,
2019,CHL,Chile,AMRO,-33.4,-70.7,HPS,30,11.0,19.0,0.3667,23.0,7.0,2.0,35.48,9.775,2378.7,71.55,0.5543750000000001,0.6405,32.28,
2020,CHL,Chile,AMRO,-33.4,-70.7,HPS,51,17.0,34.0,0.3333,44.0,16.0,1.0,32.69,9.875,5056.5,75.175,0.59075,0.8345,28.24,
2021,CHL,Chile,AMRO,-33.4,-70.7,HPS,43,15.0,28.0,0.3488,38.0,18.0,2.0,34.09,10.1,4223.8,71.225,0.569625,0.606625,31.93,
2022,CHL,Chile,AMRO,-33.4,-70.7,HPS,42,13.0,29.0,0.3095,31.0,12.0,1.0,30.23,10.425,4056.3,73.9875,0.5275,0.74375,25.68,
2023,CHL,Chile,AMRO,-33.4,-70.7,HPS,66,19.0,47.0,0.2879,51.0,14.0,4.0,28.36,10.6125,3848.2,70.7875,0.536125,0.716,35.18,
2024,CHL,Chile,AMRO,-33.4,-70.7,HPS,55,13.0,42.0,0.2364,42.0,19.0,0.0,23.21,10.4875,2985.3,77.025,0.533125,0.669875,30.5,
2025,CHL,Chile,AMRO,-33.4,-70.7,HPS,53,19.0,34.0,0.3585,40.0,11.0,4.0,35.19,12.775,3194.2,69.5875,0.502875,0.755625,34.67,
2010,USA,United States,AMRO,38.9,-77.0,HPS,31,10.0,21.0,0.3226,25.0,8.0,0.0,31.25,12.25,1217.9,53.1125,0.714375,0.653,27.26,
2011,USA,United States,AMRO,38.9,-77.0,HPS,35,11.0,24.0,0.3143,30.0,11.0,0.0,30.56,13.525,985.4,52.3625,0.5475,0.64525,22.09,
2012,USA,United States,AMRO,38.9,-77.0,HPS,31,14.0,17.0,0.4516,27.0,8.0,0.0,43.75,9.9,1105.0,51.0875,0.53325,0.690625,28.67,
2013,USA,United States,AMRO,38.9,-77.0,HPS,22,6.0,16.0,0.2727,19.0,5.0,0.0,26.09,11.6125,1075.4,50.575,0.55025,0.71875,27.04,
2014,USA,United States,AMRO,38.9,-77.0,HPS,34,12.0,22.0,0.3529,27.0,12.0,0.0,34.29,12.125,1312.9,51.35,0.4965,0.70525,22.24,
2015,USA,United States,AMRO,38.9,-77.0,HPS,31,8.0,23.0,0.2581,27.0,10.0,0.0,25.0,11.1,1653.4,50.975,0.556,0.743,30.67,
2016,USA,United States,AMRO,38.9,-77.0,HPS,43,14.0,29.0,0.3256,34.0,16.0,0.0,31.82,11.7,1456.0,50.7375,0.505375,0.56525,24.8,
2017,USA,United States,AMRO,38.9,-77.0,HPS,43,17.0,26.0,0.3953,34.0,14.0,0.0,38.64,11.6875,979.8,51.575,0.4325,0.5795,26.57,
2018,USA,United States,AMRO,38.9,-77.0,HPS,30,8.0,22.0,0.2667,28.0,8.0,0.0,25.81,11.0,1785.6,48.25,0.608875,0.8023750000000001,31.06,
2019,USA,United States,AMRO,38.9,-77.0,HPS,36,12.0,24.0,0.3333,28.0,11.0,0.0,32.43,11.7375,1177.2,49.125,0.464875,0.721625,25.18,
2020,USA,United States,AMRO,38.9,-77.0,HPS,37,15.0,22.0,0.4054,33.0,14.0,0.0,39.47,11.025,965.3,47.7875,0.5001249999999999,0.709375,35.82,
2021,USA,United States,AMRO,38.9,-77.0,HPS,39,16.0,23.0,0.4103,31.0,12.0,0.0,40.0,10.75,1679.8,49.525,0.48175,0.639125,31.06,
2022,USA,United States,AMRO,38.9,-77.0,HPS,35,16.0,19.0,0.4571,32.0,8.0,0.0,44.44,11.1375,1258.2,52.375,0.544875,0.655875,36.38,
2023,USA,United States,AMRO,38.9,-77.0,HPS,46,20.0,26.0,0.4348,36.0,15.0,0.0,42.55,12.3625,1456.6,51.175,0.5257499999999999,0.7485,32.83,
2024,USA,United States,AMRO,38.9,-77.0,HPS,47,12.0,35.0,0.2553,41.0,13.0,0.0,25.0,11.5,1188.6,52.9125,0.538,0.757875,35.65,
2025,USA,United States,AMRO,38.9,-77.0,HPS,42,19.0,23.0,0.4524,39.0,15.0,0.0,44.19,11.2125,1246.7,52.3125,0.497,0.8555,36.07,
2010,CHN,China,WPRO,39.9,116.4,HFRS,17373,624.0,16749.0,0.0359,14526.0,4715.0,0.0,3.59,8.675,1066.7,54.75,0.432,0.5825,13.02,
2011,CHN,China,WPRO,39.9,116.4,HFRS,17670,595.0,17075.0,0.0337,13842.0,4156.0,0.0,3.37,8.8625,1069.4,59.5375,0.634,0.6725,21.32,
2012,CHN,China,WPRO,39.9,116.4,HFRS,11775,403.0,11372.0,0.0342,10394.0,4078.0,0.0,3.42,9.25,1160.2,60.9375,0.373125,0.608625,24.26,
2013,CHN,China,WPRO,39.9,116.4,HFRS,18672,662.0,18010.0,0.0355,16189.0,8264.0,0.0,3.55,6.9375,1010.7,57.575,0.546625,0.648875,25.79,
2014,CHN,China,WPRO,39.9,116.4,HFRS,15474,356.0,15118.0,0.023,12440.0,3323.0,0.0,2.3,9.4625,1164.0,64.0625,0.606125,0.635875,26.66,
2015,CHN,China,WPRO,39.9,116.4,HFRS,20696,783.0,19913.0,0.0378,15684.0,4495.0,0.0,3.78,9.0875,1373.2,57.4125,0.567375,0.547875,24.54,
2016,CHN,China,WPRO,39.9,116.4,HFRS,20514,775.0,19739.0,0.0378,16682.0,6709.0,0.0,3.78,9.025,1310.8,58.125,0.53975,0.5862499999999999,22.02,
2017,CHN,China,WPRO,39.9,116.4,HFRS,15131,358.0,14773.0,0.0237,14333.0,7733.0,0.0,2.37,8.825,1019.3,52.825,0.460125,0.6025,25.36,
2018,CHN,China,WPRO,39.9,116.4,HFRS,13034,497.0,12537.0,0.0381,11441.0,5839.0,0.0,3.81,8.7125,873.7,60.2625,0.6025,0.6945,30.22,
2019,CHN,China,WPRO,39.9,116.4,HFRS,15540,470.0,15070.0,0.0302,13174.0,5929.0,0.0,3.02,8.95,958.8,61.2125,0.582375,0.624625,31.14,
2020,CHN,China,WPRO,39.9,116.4,HFRS,13546,291.0,13255.0,0.0215,10993.0,5072.0,0.0,2.15,10.1875,1287.9,52.0,0.623375,0.637625,33.46,
2021,CHN,China,WPRO,39.9,116.4,HFRS,16010,530.0,15480.0,0.0331,15113.0,4203.0,0.0,3.31,8.375,1026.0,59.6125,0.5872499999999999,0.84625,31.01,
2022,CHN,China,WPRO,39.9,116.4,HFRS,22952,665.0,22287.0,0.029,21199.0,6426.0,0.0,2.9,8.6875,1136.7,63.3,0.582375,0.8135,33.33,
2023,CHN,China,WPRO,39.9,116.4,HFRS,23885,861.0,23024.0,0.036,22426.0,10203.0,0.0,3.6,9.7625,867.6,58.0875,0.543875,0.660375,29.21,
2024,CHN,China,WPRO,39.9,116.4,HFRS,20318,652.0,19666.0,0.0321,18769.0,7905.0,0.0,3.21,10.3,969.8,64.2875,0.5525,0.6465,26.93,
2025,CHN,China,WPRO,39.9,116.4,HFRS,13735,518.0,13217.0,0.0377,12195.0,5523.0,0.0,3.77,9.075,912.4,57.025,0.59275,0.64775,35.18,
2010,KOR,South Korea,WPRO,37.6,127.0,HFRS,585,21.0,564.0,0.0359,441.0,128.0,0.0,3.58,11.325,1484.5,75.225,0.4855,0.62475,11.12,
2011,KOR,South Korea,WPRO,37.6,127.0,HFRS,681,35.0,646.0,0.0514,642.0,243.0,0.0,5.13,12.425,1588.8,70.3,0.57,0.51425,11.12,
2012,KOR,South Korea,WPRO,37.6,127.0,HFRS,460,23.0,437.0,0.05,385.0,108.0,0.0,4.99,12.9,1258.7,68.975,0.498,0.53925,14.45,
2013,KOR,South Korea,WPRO,37.6,127.0,HFRS,565,23.0,542.0,0.0407,493.0,219.0,0.0,4.06,13.1,2193.4,70.4,0.61025,0.70425,15.55,
2014,KOR,South Korea,WPRO,37.6,127.0,HFRS,496,18.0,478.0,0.0363,449.0,174.0,0.0,3.62,12.15,591.0,66.42500000000001,0.598,0.47625,5.91,
2015,KOR,South Korea,WPRO,37.6,127.0,HFRS,525,34.0,491.0,0.0648,399.0,182.0,0.0,6.46,12.9,2015.4,61.725,0.571,0.7132499999999999,15.8,
2016,KOR,South Korea,WPRO,37.6,127.0,HFRS,864,36.0,828.0,0.0417,672.0,192.0,0.0,4.16,12.825,1251.1,70.0,0.65475,0.70325,16.55,
2017,KOR,South Korea,WPRO,37.6,127.0,HFRS,586,22.0,564.0,0.0375,520.0,139.0,0.0,3.75,11.775,1143.0,71.4,0.5425,0.6385,12.99,
2018,KOR,South Korea,WPRO,37.6,127.0,HFRS,576,37.0,539.0,0.0642,525.0,228.0,0.0,6.41,11.775,1688.4,71.125,0.52025,0.73375,11.06,
2019,KOR,South Korea,WPRO,37.6,127.0,HFRS,475,25.0,450.0,0.0526,406.0,153.0,0.0,5.25,12.325,1568.6,76.2,0.5175,0.62925,17.79,
2020,KOR,South Korea,WPRO,37.6,127.0,HFRS,445,27.0,418.0,0.0607,373.0,115.0,0.0,6.05,12.8,1384.0,69.575,0.61225,0.6935,12.79,
2021,KOR,South Korea,WPRO,37.6,127.0,HFRS,581,27.0,554.0,0.0465,531.0,249.0,0.0,4.64,10.85,941.4,73.5,0.54625,0.66675,13.82,
2022,KOR,South Korea,WPRO,37.6,127.0,HFRS,794,28.0,766.0,0.0353,661.0,260.0,0.0,3.52,12.3,1867.2,63.8,0.6537499999999999,0.61525,17.4,
2023,KOR,South Korea,WPRO,37.6,127.0,HFRS,548,23.0,525.0,0.042,494.0,143.0,0.0,4.19,12.975,1086.4,69.85,0.53975,0.6765,15.22,
2024,KOR,South Korea,WPRO,37.6,127.0,HFRS,685,28.0,657.0,0.0409,515.0,166.0,0.0,4.08,13.3,987.2,69.675,0.43625,0.7885,17.46,
2025,KOR,South Korea,WPRO,37.6,127.0,HFRS,736,43.0,693.0,0.0584,693.0,274.0,0.0,5.83,11.375,1037.7,69.675,0.521,0.7635000000000001,18.01,
2010,RUS,Russia,EURO,55.8,37.6,HFRS,7364,236.0,7128.0,0.032,6571.0,3271.0,0.0,3.2,4.6,658.0,65.325,0.5925,0.57875,9.85,
2011,RUS,Russia,EURO,55.8,37.6,HFRS,5674,191.0,5483.0,0.0337,4416.0,1564.0,0.0,3.37,3.0500000000000003,491.8,64.14999999999999,0.55775,0.5237499999999999,15.14,
2012,RUS,Russia,EURO,55.8,37.6,HFRS,6353,292.0,6061.0,0.046,5592.0,2439.0,0.0,4.6,3.85,392.2000000000001,66.025,0.547,0.47525,9.34,
2013,RUS,Russia,EURO,55.8,37.6,HFRS,6278,302.0,5976.0,0.0481,5300.0,2881.0,0.0,4.81,2.8,571.9,70.825,0.5555,0.61425,6.93,
2014,RUS,Russia,EURO,55.8,37.6,HFRS,8245,255.0,7990.0,0.0309,7298.0,2536.0,0.0,3.09,2.45,357.9,68.69999999999999,0.6799999999999999,0.46925,10.25,
2015,RUS,Russia,EURO,55.8,37.6,HFRS,9496,281.0,9215.0,0.0296,7454.0,3777.0,0.0,2.96,2.4250000000000003,850.3,68.3,0.67475,0.80625,13.3,
2016,RUS,Russia,EURO,55.8,37.6,HFRS,7744,372.0,7372.0,0.048,6240.0,2763.0,0.0,4.8,4.175,501.8,63.075,0.52575,0.7155,13.16,
2017,RUS,Russia,EURO,55.8,37.6,HFRS,9197,370.0,8827.0,0.0402,7459.0,2340.0,0.0,4.02,1.975,425.9,65.125,0.48875,0.7145,8.98,
2018,RUS,Russia,EURO,55.8,37.6,HFRS,5675,200.0,5475.0,0.0352,4997.0,2655.0,0.0,3.52,3.45,634.9,70.2,0.6695,0.785,19.95,
2019,RUS,Russia,EURO,55.8,37.6,HFRS,8064,374.0,7690.0,0.0464,7319.0,3289.0,0.0,4.64,2.125,554.1,65.9,0.56,0.7202500000000001,11.02,
2020,RUS,Russia,EURO,55.8,37.6,HFRS,6227,309.0,5918.0,0.0496,5505.0,2301.0,0.0,4.96,2.325,666.6,58.0,0.76425,0.5795,15.56,
2021,RUS,Russia,EURO,55.8,37.6,HFRS,6495,251.0,6244.0,0.0386,5469.0,2785.0,0.0,3.86,2.725,383.0,61.725,0.484,0.79875,15.78,
2022,RUS,Russia,EURO,55.8,37.6,HFRS,9274,344.0,8930.0,0.0371,8767.0,2482.0,0.0,3.71,3.9,313.8,65.39999999999999,0.5327500000000001,0.6467499999999999,19.85,
2023,RUS,Russia,EURO,55.8,37.6,HFRS,8990,260.0,8730.0,0.0289,8072.0,4241.0,0.0,2.89,3.5,304.9,55.375,0.383,0.83575,18.87,
2024,RUS,Russia,EURO,55.8,37.6,HFRS,7780,378.0,7402.0,0.0486,6289.0,3290.0,0.0,4.86,2.25,482.7,72.3,0.56375,0.81875,10.93,
2025,RUS,Russia,EURO,55.8,37.6,HFRS,8698,411.0,8287.0,0.0473,6554.0,3531.0,0.0,4.72,1.8,552.0,62.77499999999999,0.48525,0.8734999999999999,18.89,
2010,FIN,Finland,EURO,60.2,24.9,HFRS,1599,14.0,1585.0,0.0088,1345.0,485.0,0.0,0.88,-0.175,645.4,69.1,0.509,0.6072500000000001,12.87,
2011,FIN,Finland,EURO,60.2,24.9,HFRS,1418,13.0,1405.0,0.0092,1276.0,346.0,0.0,0.92,-0.55,885.4,75.45,0.6445,0.4875,11.28,
2012,FIN,Finland,EURO,60.2,24.9,HFRS,1270,11.0,1259.0,0.0087,1191.0,536.0,0.0,0.87,-0.6250000000000001,405.4,82.25,0.55675,0.70725,10.62,
2013,FIN,Finland,EURO,60.2,24.9,HFRS,1822,16.0,1806.0,0.0088,1582.0,400.0,0.0,0.88,-2.375,652.3,80.35,0.42275,0.6685,10.8,
2014,FIN,Finland,EURO,60.2,24.9,HFRS,2036,25.0,2011.0,0.0123,1776.0,909.0,0.0,1.23,-0.8,469.1,72.275,0.39475,0.706,9.0,
2015,FIN,Finland,EURO,60.2,24.9,HFRS,2385,18.0,2367.0,0.0075,2219.0,598.0,0.0,0.75,-1.1999999999999995,746.1,77.525,0.5327500000000001,0.63975,11.78,
2016,FIN,Finland,EURO,60.2,24.9,HFRS,2251,17.0,2234.0,0.0076,1693.0,637.0,0.0,0.75,-0.225,624.4,75.6,0.591,0.5895,16.28,
2017,FIN,Finland,EURO,60.2,24.9,HFRS,1857,18.0,1839.0,0.0097,1607.0,422.0,0.0,0.97,-0.0499999999999999,460.6,76.5,0.6565,0.5667500000000001,9.07,
2018,FIN,Finland,EURO,60.2,24.9,HFRS,1483,15.0,1468.0,0.0101,1214.0,569.0,0.0,1.01,0.175,661.9,72.45,0.544,0.59625,16.869999999999997,
2019,FIN,Finland,EURO,60.2,24.9,HFRS,1807,21.0,1786.0,0.0116,1605.0,608.0,0.0,1.16,0.5249999999999999,609.5,75.6,0.702,0.8285,16.009999999999998,
2020,FIN,Finland,EURO,60.2,24.9,HFRS,1898,16.0,1882.0,0.0084,1539.0,749.0,0.0,0.84,-2.825,562.3,73.375,0.7215,0.6525,12.03,
2021,FIN,Finland,EURO,60.2,24.9,HFRS,1937,22.0,1915.0,0.0114,1771.0,898.0,0.0,1.14,-3.25,701.2,74.975,0.5875,0.7030000000000001,14.03,
2022,FIN,Finland,EURO,60.2,24.9,HFRS,2705,25.0,2680.0,0.0092,2201.0,934.0,0.0,0.92,-0.375,642.5,75.475,0.4165,0.59875,14.34,
2023,FIN,Finland,EURO,60.2,24.9,HFRS,2161,22.0,2139.0,0.0102,1925.0,878.0,0.0,1.02,-2.625,776.8,72.55,0.54725,0.7875000000000001,14.499999999999998,
2024,FIN,Finland,EURO,60.2,24.9,HFRS,2023,16.0,2007.0,0.0079,1691.0,495.0,0.0,0.79,-0.5000000000000001,584.5,81.525,0.398,0.735,15.54,
2025,FIN,Finland,EURO,60.2,24.9,HFRS,2278,20.0,2258.0,0.0088,1778.0,458.0,0.0,0.88,-0.3750000000000001,544.5,82.9,0.64375,0.844,17.79,
2010,DEU,Germany,EURO,52.5,13.4,HFRS,267,2.0,265.0,0.0075,242.0,125.0,0.0,0.75,10.45,711.1,72.65,0.40025,0.51275,7.8,
2011,DEU,Germany,EURO,52.5,13.4,HFRS,194,2.0,192.0,0.0103,160.0,86.0,0.0,1.03,9.975,784.4,75.7,0.4479999999999999,0.6115,11.09,
2012,DEU,Germany,EURO,52.5,13.4,HFRS,147,1.0,146.0,0.0068,124.0,45.0,0.0,0.68,9.775,888.0999999999999,70.325,0.56525,0.638,11.99,
2013,DEU,Germany,EURO,52.5,13.4,HFRS,205,2.0,203.0,0.0098,153.0,45.0,0.0,0.97,9.2,755.0,73.125,0.3685,0.5065,10.11,
2014,DEU,Germany,EURO,52.5,13.4,HFRS,243,2.0,241.0,0.0082,229.0,109.0,0.0,0.82,10.775,654.7,65.15,0.45825,0.73825,13.39,
2015,DEU,Germany,EURO,52.5,13.4,HFRS,303,3.0,300.0,0.0099,245.0,68.0,0.0,0.99,9.175,957.7,69.525,0.413,0.65975,10.5,
2016,DEU,Germany,EURO,52.5,13.4,HFRS,292,3.0,289.0,0.0103,221.0,79.0,0.0,1.02,10.05,474.8,61.75,0.57575,0.68575,9.95,
2017,DEU,Germany,EURO,52.5,13.4,HFRS,294,2.0,292.0,0.0068,245.0,94.0,0.0,0.68,8.8,838.9000000000001,62.0,0.38075,0.6425000000000001,9.82,
2018,DEU,Germany,EURO,52.5,13.4,HFRS,181,1.0,180.0,0.0055,149.0,39.0,0.0,0.55,10.95,707.9,64.625,0.4195,0.81625,16.63,
2019,DEU,Germany,EURO,52.5,13.4,HFRS,221,2.0,219.0,0.009,202.0,102.0,0.0,0.9,10.825,663.9000000000001,69.6,0.57275,0.59075,17.4,
2020,DEU,Germany,EURO,52.5,13.4,HFRS,173,1.0,172.0,0.0058,146.0,75.0,0.0,0.57,10.6,677.1999999999999,61.525,0.65625,0.62175,12.58,
2021,DEU,Germany,EURO,52.5,13.4,HFRS,198,2.0,196.0,0.0101,172.0,58.0,0.0,1.01,10.9,680.0,61.225,0.6467499999999999,0.6295,13.92,
2022,DEU,Germany,EURO,52.5,13.4,HFRS,212,2.0,210.0,0.0094,190.0,65.0,0.0,0.94,10.15,740.2,64.725,0.5462499999999999,0.77625,15.26,
2023,DEU,Germany,EURO,52.5,13.4,HFRS,288,2.0,286.0,0.0069,257.0,79.0,0.0,0.69,10.275,537.8,66.35,0.4892499999999999,0.6499999999999999,12.29,
2024,DEU,Germany,EURO,52.5,13.4,HFRS,301,2.0,299.0,0.0066,247.0,66.0,0.0,0.66,10.85,936.5,66.775,0.4912499999999999,0.67775,15.09,
2025,DEU,Germany,EURO,52.5,13.4,HFRS,178,1.0,177.0,0.0056,143.0,71.0,0.0,0.56,10.225,785.4,71.4,0.44475,0.80875,16.88,
2026,,Netherlands,,52.13,5.29,,3,,,,,,,,13.745401188473625,529.0418060840997,76.64885281600843,,0.18638900372842315,,239.0
2026,,South Africa,,-30.55,22.93,,2,,,,,,,,19.50714306409916,933.0880728874677,64.24678221356552,,0.15824582803960838,,224.0
2026,,Switzerland,,46.81,8.22,,1,,,,,,,,17.31993941811405,800.5575058716045,63.63649934414201,,0.22237057894447587,,100.0
2026,,France,,46.22,2.21,,1,,,,,,,,15.986584841970366,854.0362888980228,63.66809019706868,,0.12789877213040837,,104.0
2026,,United States,,0.0,0.0,,1,,,,,,,,11.560186404424366,510.2922471479012,66.08484485919075,,0.15842892970704364,,293.0
2026,,Spain,,40.46,-3.75,,1,,,,,,,,11.559945203362027,984.9549260809972,70.49512863264476,,0.17327236865873835,,369.0
